 10 
 50 111 
 1 4 39 
 1 43 -72 
 1 44 -99 
 1 49 -57 
 2 7 78 
 2 14 -28 
 2 32 15 
 3 11 -84 
 3 44 86 
 4 11 -77 
 4 22 43 
 4 27 -12 
 4 38 -86 
 4 39 -81 
 4 49 -48 
 5 9 -51 
 5 16 -75 
 5 20 -53 
 6 7 2 
 6 14 -68 
 6 15 -3 
 6 16 -66 
 6 21 89 
 6 24 -90 
 6 31 -76 
 7 17 -97 
 7 18 -65 
 7 32 -50 
 7 48 2 
 7 50 -22 
 8 42 -91 
 8 49 -19 
 9 29 -22 
 9 31 -7 
 9 45 22 
 9 48 -10 
 10 20 -77 
 10 30 42 
 10 41 40 
 11 18 35 
 11 41 -86 
 11 42 -62 
 11 47 75 
 12 20 94 
 12 25 -95 
 12 46 25 
 12 47 25 
 13 30 -14 
 13 40 45 
 13 43 48 
 13 47 -25 
 14 19 -24 
 14 23 -31 
 14 30 -78 
 14 36 59 
 15 19 -72 
 15 21 45 
 15 26 -38 
 15 27 55 
 15 36 -53 
 16 35 40 
 16 37 -55 
 17 20 -78 
 17 23 -65 
 17 24 -16 
 17 25 30 
 18 33 -49 
 19 19 99 
 19 22 -60 
 19 48 78 
 21 31 -28 
 21 38 17 
 22 25 -43 
 22 29 70 
 22 35 98 
 22 46 81 
 22 50 -87 
 23 27 70 
 23 34 -10 
 23 43 -43 
 23 48 -90 
 24 33 -9 
 24 36 31 
 25 48 -24 
 26 39 -50 
 27 47 3 
 27 49 65 
 28 39 -84 
 28 44 12 
 29 34 62 
 29 39 -91 
 29 50 23 
 30 50 98 
 31 33 12 
 31 35 14 
 32 35 -48 
 32 48 -49 
 34 39 66 
 35 40 -18 
 36 41 -88 
 37 41 -77 
 37 50 44 
 38 48 -71 
 39 47 9 
 39 50 -36 
 40 40 -48 
 40 43 -67 
 42 45 -64 
 44 44 58 
 46 48 -12 
 47 48 35 
 50 123 
 1 6 83 
 1 19 -56 
 1 39 46 
 2 6 -82 
 2 14 -94 
 2 25 -32 
 2 32 15 
 2 42 30 
 2 50 14 
 3 9 -37 
 3 12 -72 
 3 15 -63 
 3 25 18 
 3 46 -82 
 3 49 28 
 4 5 85 
 4 6 97 
 4 9 10 
 4 25 -55 
 4 29 -8 
 4 31 -10 
 4 38 58 
 4 41 48 
 4 43 49 
 4 47 -67 
 5 7 -45 
 5 19 -75 
 5 25 36 
 5 30 -61 
 5 37 3 
 5 42 98 
 5 45 40 
 6 6 -29 
 6 19 -33 
 6 28 -36 
 7 17 16 
 7 36 -2 
 8 19 42 
 9 11 -63 
 9 14 86 
 9 19 10 
 9 20 86 
 9 24 -23 
 9 36 69 
 9 44 -67 
 9 45 -86 
 9 50 90 
 10 11 4 
 11 28 90 
 11 36 -7 
 12 15 12 
 12 23 90 
 12 31 10 
 13 18 77 
 13 24 -12 
 13 25 47 
 13 42 89 
 13 44 -84 
 14 19 34 
 14 25 67 
 15 21 86 
 15 28 -12 
 15 33 -78 
 15 43 9 
 15 45 -73 
 15 46 -91 
 16 28 16 
 16 42 27 
 16 48 -54 
 17 45 -39 
 18 26 -31 
 18 30 16 
 18 39 -68 
 18 47 -39 
 18 49 -29 
 19 21 2 
 19 33 -81 
 19 36 -9 
 20 29 -13 
 20 36 -29 
 20 40 83 
 20 48 -18 
 21 39 84 
 21 41 -59 
 21 48 89 
 21 50 -93 
 23 49 67 
 24 36 -81 
 24 39 45 
 25 36 54 
 26 30 74 
 26 39 -96 
 26 46 -71 
 27 37 4 
 27 45 -76 
 27 46 41 
 30 42 -73 
 31 43 99 
 32 34 -40 
 32 43 93 
 33 40 79 
 33 50 67 
 34 38 82 
 34 39 -87 
 35 37 50 
 35 39 17 
 36 37 -72 
 36 38 78 
 36 41 -26 
 36 43 -62 
 36 48 15 
 37 46 65 
 37 50 -89 
 39 40 -81 
 39 43 -48 
 41 44 17 
 41 45 79 
 41 48 79 
 44 49 71 
 45 45 -48 
 46 46 -15 
 47 50 50 
 49 50 30 
 50 136 
 1 3 -60 
 1 6 -59 
 1 8 -52 
 1 18 58 
 1 25 -62 
 1 33 84 
 1 34 92 
 1 47 94 
 1 49 -39 
 2 19 -70 
 2 24 100 
 2 34 -37 
 2 41 -55 
 2 47 69 
 3 11 82 
 3 16 -18 
 3 21 62 
 3 26 -85 
 3 31 26 
 3 36 -15 
 4 38 74 
 4 47 75 
 5 8 28 
 5 10 80 
 5 11 27 
 5 22 -22 
 5 33 75 
 5 36 -17 
 5 40 -71 
 5 48 61 
 6 12 73 
 6 13 92 
 6 14 75 
 6 28 30 
 6 42 -24 
 6 45 -95 
 7 26 5 
 7 29 -5 
 7 46 90 
 8 15 -4 
 8 19 -12 
 8 23 98 
 8 46 -63 
 8 49 1 
 9 15 -61 
 9 18 82 
 9 41 32 
 9 43 100 
 9 49 -20 
 10 24 63 
 10 37 -10 
 10 48 -97 
 11 13 43 
 11 42 -45 
 11 45 -42 
 11 48 35 
 12 17 -30 
 12 39 -3 
 13 44 8 
 13 46 13 
 13 49 14 
 14 25 -15 
 14 27 -19 
 14 34 29 
 14 43 -23 
 14 45 72 
 15 18 2 
 15 40 55 
 15 46 12 
 16 18 48 
 16 26 21 
 16 49 -84 
 17 28 -17 
 17 34 27 
 17 36 -57 
 17 38 7 
 17 50 21 
 18 35 84 
 18 37 56 
 18 48 -77 
 19 23 28 
 19 40 -66 
 19 42 81 
 20 23 -43 
 20 24 90 
 20 28 -58 
 20 32 -70 
 20 33 -81 
 21 39 62 
 21 40 5 
 22 36 85 
 22 38 100 
 22 39 -33 
 23 30 -63 
 23 47 -73 
 24 36 -49 
 24 40 -66 
 24 47 -92 
 25 30 -4 
 26 45 57 
 27 40 -65 
 27 45 -23 
 28 40 -97 
 28 46 88 
 28 49 37 
 29 30 -17 
 29 31 84 
 29 49 -5 
 30 30 6 
 30 38 16 
 30 42 -21 
 30 46 54 
 31 37 79 
 31 48 -17 
 31 49 -60 
 32 35 2 
 32 36 -25 
 32 47 97 
 33 36 -7 
 33 42 6 
 34 45 -95 
 34 47 98 
 34 50 13 
 36 41 30 
 37 37 -18 
 37 48 41 
 38 43 64 
 38 45 -2 
 39 43 -84 
 40 45 36 
 41 41 97 
 42 42 67 
 43 44 -71 
 43 50 -40 
 46 48 72 
 49 50 -41 
 50 115 
 1 7 -73 
 1 9 70 
 1 25 -98 
 1 46 27 
 2 6 22 
 2 19 -92 
 2 22 -73 
 2 27 97 
 2 34 -96 
 2 46 -17 
 2 50 64 
 3 4 58 
 3 7 10 
 3 11 -74 
 3 12 -11 
 3 38 -51 
 3 40 92 
 4 16 3 
 4 19 9 
 4 24 3 
 4 26 24 
 6 20 -88 
 6 38 -91 
 6 50 -75 
 7 8 16 
 7 12 -13 
 7 18 -32 
 7 32 66 
 7 37 47 
 7 45 -60 
 7 49 15 
 8 10 35 
 8 22 -98 
 8 28 43 
 8 29 23 
 8 41 -93 
 8 44 29 
 9 12 34 
 9 16 -86 
 9 25 18 
 9 29 -32 
 9 33 69 
 9 42 82 
 10 27 -96 
 11 31 91 
 11 33 33 
 12 19 43 
 12 38 2 
 12 47 47 
 12 48 72 
 13 19 85 
 13 45 -86 
 13 50 70 
 14 28 68 
 14 38 72 
 14 42 33 
 15 15 -56 
 15 24 17 
 15 39 6 
 15 45 -5 
 16 26 99 
 16 29 -40 
 16 31 -39 
 16 33 -51 
 17 17 53 
 17 25 24 
 17 34 58 
 18 33 86 
 18 48 88 
 19 23 -22 
 19 32 30 
 19 39 8 
 20 46 4 
 21 50 -83 
 22 25 -49 
 22 26 -54 
 22 27 -66 
 24 29 58 
 24 42 -79 
 24 43 -47 
 24 48 69 
 24 50 -11 
 25 43 -82 
 26 32 59 
 26 49 -61 
 27 35 59 
 27 36 -12 
 27 38 62 
 27 40 55 
 27 43 27 
 27 49 -15 
 28 32 92 
 29 34 -95 
 29 40 -24 
 29 43 10 
 29 47 20 
 30 40 58 
 31 33 -74 
 31 34 64 
 31 36 4 
 31 38 88 
 31 41 18 
 31 45 -29 
 31 46 -46 
 32 34 -68 
 33 48 35 
 35 42 53 
 37 48 -28 
 38 40 -5 
 39 44 -45 
 40 45 -44 
 41 49 21 
 41 50 -68 
 47 47 -69 
 50 50 -60 
 50 138 
 1 10 -16 
 1 21 -18 
 1 50 -56 
 2 10 -94 
 2 25 -43 
 2 35 -14 
 2 38 46 
 3 6 65 
 3 16 -81 
 3 19 -3 
 3 37 4 
 4 6 -11 
 4 21 -90 
 4 23 19 
 4 26 13 
 4 36 92 
 4 43 5 
 5 28 -26 
 5 30 -87 
 5 42 -21 
 6 8 97 
 6 18 -22 
 6 38 4 
 6 42 57 
 6 43 80 
 7 12 85 
 7 30 36 
 7 38 77 
 7 39 -4 
 7 43 30 
 7 48 -48 
 7 50 68 
 8 8 31 
 8 10 21 
 8 24 -68 
 8 28 -50 
 8 29 39 
 8 35 -62 
 8 40 -17 
 8 42 -5 
 8 48 26 
 9 16 59 
 9 22 -55 
 9 23 62 
 9 26 53 
 9 30 -9 
 9 39 -34 
 9 40 -69 
 9 44 -47 
 10 14 -46 
 10 25 -40 
 10 42 33 
 10 43 57 
 10 47 -54 
 11 14 15 
 11 26 17 
 11 35 95 
 11 38 78 
 11 42 56 
 11 46 -91 
 12 14 -82 
 12 36 -60 
 12 39 37 
 12 40 3 
 12 41 -49 
 12 49 -37 
 13 17 -33 
 13 29 -70 
 13 33 5 
 13 38 -45 
 13 43 -62 
 13 45 11 
 14 21 50 
 15 24 -87 
 15 30 -44 
 15 49 -1 
 16 17 70 
 16 45 56 
 18 18 -15 
 18 24 52 
 18 30 -41 
 18 34 -76 
 18 39 49 
 19 40 -38 
 20 20 50 
 20 25 -42 
 20 36 81 
 21 31 -25 
 21 40 36 
 22 23 47 
 22 31 3 
 22 39 85 
 22 42 90 
 22 44 -81 
 22 45 95 
 24 39 -26 
 25 33 36 
 25 34 88 
 25 42 1 
 25 48 63 
 26 28 13 
 26 33 -10 
 26 40 89 
 26 41 36 
 27 30 -91 
 27 41 -1 
 27 46 -77 
 28 28 -9 
 28 34 -38 
 29 43 -46 
 30 30 50 
 31 50 97 
 32 35 -17 
 32 37 30 
 32 41 25 
 33 36 77 
 33 38 -50 
 33 46 -36 
 34 36 -33 
 34 42 55 
 34 49 -62 
 35 41 -35 
 35 43 -12 
 36 40 -90 
 36 42 8 
 37 41 -9 
 37 47 19 
 38 38 9 
 38 43 93 
 39 42 96 
 40 41 -74 
 40 43 74 
 41 43 -52 
 41 46 -82 
 44 50 71 
 46 46 56 
 46 50 -22 
 47 50 -16 
 50 115 
 1 1 -76 
 2 2 74 
 2 4 -31 
 2 9 58 
 2 15 -13 
 2 20 65 
 2 36 -61 
 2 43 -17 
 3 3 11 
 3 6 -5 
 3 14 -98 
 3 20 59 
 3 37 -29 
 3 45 -33 
 4 40 81 
 4 49 3 
 5 7 100 
 5 30 -4 
 6 17 -14 
 7 13 84 
 7 17 73 
 8 30 26 
 8 48 12 
 8 49 -18 
 9 32 9 
 10 14 49 
 10 39 96 
 10 44 8 
 10 49 67 
 11 11 -77 
 11 14 -4 
 11 23 -23 
 11 44 15 
 11 45 -4 
 12 14 -32 
 12 17 46 
 13 22 88 
 13 31 -79 
 13 33 -64 
 14 34 42 
 15 17 -10 
 15 24 14 
 15 31 -7 
 15 36 -49 
 16 16 -91 
 16 38 26 
 17 19 -74 
 17 30 -33 
 17 33 55 
 17 34 -36 
 17 37 -81 
 17 42 6 
 18 18 -22 
 18 22 -37 
 18 32 44 
 18 39 25 
 20 20 -5 
 20 26 73 
 20 31 -98 
 20 34 98 
 20 42 -43 
 20 48 49 
 21 44 58 
 21 45 20 
 22 24 55 
 22 30 22 
 23 23 -89 
 23 25 -17 
 23 31 53 
 24 31 47 
 24 32 -89 
 24 38 46 
 24 49 -91 
 25 28 76 
 25 32 38 
 25 34 -64 
 25 39 94 
 26 33 83 
 26 34 -57 
 27 39 -34 
 28 29 76 
 28 30 41 
 28 35 29 
 28 44 -97 
 29 37 -91 
 29 43 99 
 30 36 87 
 30 39 -16 
 30 49 -32 
 31 32 91 
 31 40 -85 
 31 41 -19 
 31 48 -5 
 32 35 66 
 32 45 98 
 32 47 -51 
 33 36 -2 
 33 43 48 
 33 44 21 
 34 34 -74 
 34 35 -41 
 34 39 -50 
 34 42 68 
 34 47 57 
 35 38 49 
 36 49 99 
 37 37 33 
 37 38 81 
 37 47 -73 
 38 38 -86 
 40 48 29 
 41 41 15 
 42 44 -86 
 44 44 69 
 46 46 19 
 50 127 
 1 7 63 
 1 21 38 
 1 30 57 
 1 45 -34 
 2 12 70 
 2 30 43 
 2 43 -70 
 2 47 -87 
 2 50 70 
 3 18 5 
 3 22 97 
 3 35 59 
 4 16 -61 
 4 18 33 
 4 19 13 
 4 32 73 
 4 38 53 
 5 10 -56 
 5 14 45 
 5 15 71 
 5 21 -9 
 5 24 -69 
 5 27 -39 
 5 35 43 
 6 19 42 
 6 30 21 
 6 35 13 
 7 18 -94 
 7 23 -55 
 7 24 91 
 7 25 6 
 7 29 -4 
 7 49 55 
 8 18 -64 
 8 22 70 
 8 41 43 
 8 43 -60 
 9 13 -97 
 9 28 -40 
 9 34 -54 
 9 37 48 
 10 17 -55 
 10 18 -52 
 10 19 -62 
 10 20 86 
 10 23 -56 
 10 26 26 
 10 32 -72 
 10 33 -11 
 10 38 69 
 10 42 -34 
 10 44 77 
 11 14 -7 
 11 21 36 
 11 22 72 
 11 33 -95 
 11 35 -75 
 11 45 25 
 12 24 -34 
 12 37 -20 
 12 44 -8 
 12 45 -42 
 12 50 3 
 13 20 81 
 13 37 -33 
 13 39 5 
 14 15 16 
 14 22 -99 
 14 23 -2 
 14 37 -85 
 14 48 -58 
 15 29 51 
 16 20 34 
 16 28 -5 
 16 45 74 
 16 48 96 
 17 27 -9 
 17 37 -3 
 18 20 -38 
 18 31 -58 
 19 23 44 
 19 37 33 
 20 20 52 
 20 26 66 
 20 38 69 
 21 31 -80 
 21 33 -51 
 21 48 77 
 22 30 69 
 22 48 -22 
 22 50 -28 
 23 23 95 
 23 32 44 
 23 36 17 
 23 43 -35 
 23 47 67 
 24 32 -14 
 24 39 64 
 24 40 -89 
 24 42 -7 
 25 31 93 
 25 39 47 
 25 42 -53 
 25 44 90 
 26 50 -40 
 27 33 79 
 28 47 34 
 29 30 -56 
 29 37 90 
 29 46 -76 
 29 50 66 
 30 35 67 
 31 32 27 
 31 41 88 
 34 39 -15 
 36 44 59 
 36 45 48 
 38 45 18 
 38 48 72 
 39 49 -99 
 40 45 33 
 40 47 14 
 44 45 32 
 45 45 -79 
 46 50 -51 
 47 48 15 
 49 50 69 
 50 147 
 1 11 -8 
 1 14 -37 
 1 29 93 
 1 33 61 
 1 35 -2 
 1 39 71 
 1 47 -20 
 1 49 88 
 2 20 75 
 2 30 -4 
 2 32 -62 
 2 34 -24 
 2 44 -20 
 3 27 65 
 3 30 -77 
 3 41 -54 
 3 43 -70 
 3 44 -99 
 4 12 -96 
 4 22 12 
 4 30 -64 
 4 50 78 
 5 8 36 
 5 46 87 
 6 15 58 
 6 16 45 
 6 17 -87 
 6 24 -51 
 6 28 39 
 6 29 35 
 6 31 86 
 6 46 -78 
 6 50 74 
 7 14 66 
 7 16 77 
 7 17 47 
 7 26 53 
 7 29 67 
 8 11 6 
 8 14 5 
 8 24 51 
 8 31 76 
 8 37 -42 
 8 41 61 
 8 43 54 
 9 9 -28 
 9 16 -83 
 9 20 33 
 9 36 15 
 9 48 25 
 10 10 -41 
 10 31 59 
 10 35 50 
 11 14 -5 
 11 26 -56 
 11 41 70 
 12 13 93 
 12 19 62 
 12 20 -30 
 12 25 43 
 12 36 54 
 12 40 60 
 12 47 1 
 13 22 -11 
 13 38 -46 
 13 42 -72 
 13 50 -3 
 14 18 -70 
 14 30 -74 
 14 48 -60 
 15 17 13 
 15 40 -94 
 15 47 -7 
 16 16 -86 
 16 47 -72 
 16 49 -37 
 17 27 -24 
 17 28 46 
 17 36 44 
 17 38 -68 
 17 42 -14 
 17 45 -65 
 18 41 28 
 18 42 63 
 19 27 94 
 19 35 7 
 19 36 -28 
 19 46 -45 
 20 20 22 
 20 26 63 
 20 39 -32 
 20 42 53 
 21 23 89 
 21 36 79 
 21 48 57 
 22 28 -76 
 22 32 84 
 22 37 -52 
 22 44 -48 
 23 40 -20 
 24 31 13 
 24 35 6 
 24 39 -26 
 25 25 -9 
 25 39 -72 
 25 40 66 
 25 44 54 
 25 48 -21 
 26 36 -60 
 26 45 -83 
 27 29 51 
 27 40 -52 
 27 42 -26 
 27 50 -7 
 28 31 -37 
 29 37 16 
 29 43 -31 
 30 30 32 
 30 32 -34 
 31 39 9 
 31 43 -23 
 31 47 62 
 31 48 -85 
 31 50 -60 
 32 37 -9 
 32 40 -7 
 33 33 -74 
 33 36 44 
 33 39 -80 
 33 49 21 
 33 50 61 
 34 36 -32 
 34 40 -76 
 34 47 47 
 35 37 -28 
 39 42 30 
 40 48 60 
 41 42 87 
 41 44 26 
 43 43 -46 
 43 44 33 
 43 49 89 
 44 44 70 
 45 45 80 
 45 46 12 
 46 49 -25 
 48 49 95 
 50 129 
 1 9 -73 
 1 10 22 
 1 22 -90 
 1 32 -17 
 2 3 21 
 2 35 84 
 2 44 -66 
 3 4 66 
 3 11 -9 
 3 20 87 
 3 29 9 
 3 30 -60 
 3 32 -84 
 3 33 81 
 3 37 -15 
 4 26 -16 
 4 49 -99 
 5 5 -89 
 5 42 -12 
 6 35 -61 
 7 17 100 
 7 20 26 
 7 28 60 
 8 10 -24 
 8 16 48 
 8 23 -17 
 8 25 94 
 8 32 98 
 8 36 14 
 8 46 73 
 9 36 61 
 9 38 -70 
 9 48 -17 
 10 30 -7 
 10 40 28 
 10 42 -63 
 10 45 21 
 11 30 40 
 11 31 49 
 11 34 55 
 11 42 -32 
 11 49 33 
 12 14 95 
 12 47 28 
 13 13 -70 
 13 18 -9 
 13 24 80 
 13 36 -50 
 13 45 96 
 13 46 -34 
 13 48 12 
 14 18 -3 
 15 23 71 
 15 24 -36 
 15 44 -47 
 16 25 -95 
 16 27 -16 
 16 32 17 
 16 36 40 
 16 49 3 
 17 36 61 
 18 25 -24 
 19 20 31 
 19 24 -70 
 19 30 -12 
 19 34 -77 
 20 26 36 
 20 42 99 
 20 46 -55 
 20 47 -90 
 21 22 -24 
 21 24 -41 
 21 48 31 
 21 50 63 
 22 22 84 
 22 25 -89 
 22 38 -10 
 22 39 52 
 23 24 81 
 23 31 -83 
 23 38 -83 
 24 44 -75 
 24 46 -26 
 25 25 -28 
 25 30 -21 
 25 42 -82 
 26 37 4 
 26 48 -5 
 26 49 83 
 27 30 69 
 27 33 62 
 27 41 95 
 27 42 -72 
 27 46 69 
 28 31 43 
 28 33 61 
 28 34 -23 
 28 47 -85 
 29 32 -17 
 29 41 95 
 30 30 -87 
 30 32 80 
 30 38 -29 
 30 41 -30 
 31 38 92 
 32 33 44 
 32 35 22 
 32 43 84 
 32 46 24 
 33 37 53 
 33 41 -6 
 34 35 -1 
 35 40 3 
 35 45 -3 
 36 39 -8 
 38 41 -69 
 38 50 62 
 39 41 -74 
 39 45 -96 
 40 42 -14 
 40 48 -2 
 42 44 58 
 42 45 -86 
 43 45 -34 
 43 48 -32 
 44 44 9 
 45 45 69 
 47 49 -93 
 48 49 78 
 50 111 
 1 6 -6 
 1 30 -50 
 1 43 -89 
 2 5 64 
 3 9 90 
 3 24 30 
 3 47 -20 
 4 11 80 
 4 17 -78 
 4 19 -43 
 5 17 -35 
 5 50 75 
 6 11 99 
 6 14 -6 
 7 11 2 
 7 30 -9 
 7 45 -37 
 8 8 -98 
 8 30 94 
 8 34 94 
 8 35 -52 
 8 44 61 
 9 10 -12 
 9 18 -83 
 9 35 62 
 10 13 -91 
 10 35 27 
 10 36 -23 
 10 38 -52 
 11 15 -93 
 11 34 -43 
 12 15 -59 
 12 17 -9 
 12 19 46 
 12 25 40 
 12 30 77 
 12 32 -30 
 12 33 72 
 12 38 42 
 12 39 -91 
 13 17 45 
 13 39 -30 
 13 45 -76 
 13 47 42 
 14 16 43 
 14 37 59 
 15 16 -9 
 15 18 -29 
 15 20 -85 
 15 28 36 
 15 33 -69 
 15 48 12 
 16 19 -70 
 16 40 -33 
 16 46 -74 
 16 50 21 
 17 27 65 
 17 39 66 
 17 41 44 
 17 43 -90 
 18 21 91 
 19 21 65 
 19 33 -18 
 19 37 45 
 19 43 -35 
 19 49 22 
 20 21 79 
 20 22 -83 
 20 24 29 
 20 26 -5 
 20 28 97 
 21 26 39 
 21 42 80 
 21 43 95 
 22 27 -24 
 22 44 -24 
 23 26 72 
 23 41 -82 
 24 25 -26 
 24 45 37 
 24 48 -11 
 25 31 37 
 26 49 -46 
 26 50 29 
 27 34 32 
 27 37 51 
 27 41 10 
 27 48 95 
 28 50 26 
 29 33 -6 
 30 33 -80 
 31 47 -99 
 32 33 -48 
 33 33 -48 
 33 34 53 
 34 37 -87 
 35 44 -59 
 35 46 -35 
 35 47 65 
 36 46 -42 
 37 38 -78 
 37 47 19 
 37 48 65 
 39 42 64 
 39 44 76 
 40 47 21 
 42 46 -5 
 43 49 -86 
 43 50 -13 
 49 50 87 
 50 50 87 
